91,Åà¸ù½ğÕë¹½¾í,Tiger lily buds in Baconic
92,¾©½´ÈâË¿,Sauteed Shredded Pork in Sweet Bean Sauce
93,¶¹½ÇÈâË¿,Shredded pork with bean
94,½´ìËÖíÌã,Braised pig feet with soy sauce
95,¶ÇË¿,Tripe
96,Çà½·ÈâË¿,Shredded pork and green pepper
97,ÓãÏãÈâË¿,Yu-Shiang Shredded Pork
98,Ä¾¶ú³´ÈâË¿,Braised Fungus with pork slice
99,Ä¾ĞëÈâ,"Sauteed Sliced Pork,Eggs and Black Fungus"
100,İ«ËñÈâË¿,Lettuce shredded meat
101,ÂìÒÏÉÏÊ÷,Sauteed Vermicelli with Spicy Minced Pork
102,×ÎÈ»ÑòÈâ,Fried Lamb with Cumin
103,ÑòÈâ´®,Lamb shashlik
104,´Ğ±¬ÑòÈâ,Sauteed Sliced Lamb with Scallion
105,ºìÉÕÊ¨×ÓÍ·,Stewed Pork Ball in Brown Sauce
106,Ëá²ËÓã,Boiled Fish with Picked Cabbage and Chili
107,¿¾Óã,grilled fish
108,ÌÇ´×ÀğÓã,Sweet and sour fish
109,ËÉÊó¹ğÓã,Sweet and Sour Mandarin Fish
110,ºìÉÕ´øÓã,Braised Hairtail in Brown Sauce
111,¶ç½·ÓãÍ·,Steamed Fish Head with Diced Hot Red Peppers
112,Ë®ÖóÓã,Fish Filets in Hot Chili Oil
113,ÇåÕôöÔÓã,Steamed Perch
114,Ö¥Ê¿ÏºÇò,Cheese Shrimp Meat
115,ÏºÈÊÎ÷À¼»¨,Shrimp broccoli
116,ÓÍìË´óÏº,Braised Shrimp in chili oil
117,ÏãÀ±Ïº,Spicy shrimp
118,ÏãÀ±Ğ¡ÁúÏº,Spicy crayfish
119,Ë®¾§Ïº½È,Shrimp Duplings
120,ËâÈ×·ÛË¿ÕôÏº,Steamed shrimp with garlic and vermicelli
121,Çå³´ÏºÈÊ,Sauteed Shrimp meat
122,Æ¤Æ¤Ïº,Pipi shrimp
123,ÉÈ±´,Scallop in Shell
124,Éúòº,Oysters
125,öÏÓã,squid
126,±«Óã,Abalone
127,ó¦Ğ·,Crab
128,¼×Óã,Turtle
129,÷­Óã,eel
130,ÑïÖİ³´·¹,Yangzhou fried rice
131,µ°°ü·¹,Omelette
132,Ğ¡ÁıÌÀ°ü,Steamed Bun Stuffed
133,ÉÕÂó,Steamed Pork Dumplings
134,¼Ò³£Ôç²Í¼¦µ°±ı,egg omelet
135,ÍÁ¶¹¼¦µ°±ı,Potato omelet
136,¼¦µ°¹à±ı,Egg pie cake
137,Â±µ°,Marinated Egg
138,ºÉ°üµ°,Poached Egg
139,´Ğ»¨ÊÖ×¥±ı,Pine cake with Diced Scallion
140,Ö¥ÂéÉÕ±ı,Sesame seed cake
141,Èâ¼ĞâÉ,Chinese hamburger
142,¾Â²ËºĞ×Ó,Leek box
143,ÄÏ¹Ï×ÏÊíÂøÍ·,steamed bun with purple potato and pumpkin
144,ÂøÍ·,steamed bun
145,°ü×Ó,Steamed stuffed bun
146,ÄÏ¹Ï±ı,Pumpkin pie
147,ÅûÈø,Pizza
148,ÓÍÌõ,Deep-Fried Dough Sticks
149,Õ¨½´Ãæ,sauteed noodles with minced meat
150,ÖØÇìËáÀ±·Û,Chongqing Hot and Sour Rice Noodles
151,Á¹°èÁ¹Ãæ,Cold noodles
152,Î÷ºìÊÁ¼¦µ°Ãæ,Noodles with egg and tomato
153,Èâ½´Òâ´óÀûÃæ,spaghetti with meat sauce
154,ÇÑÖ­°èÃæ,Noodles with tomato sauce
155,Á¹Æ¤,Cold Rice Noodles
156,µ£µ£Ãæ,Sichuan noodles with peppery sauce
157,ëı×ÓÃæ,Qishan noodles
158,³´Ãæ,fried noodles
159,½È×Ó,Dumplings
160,ÓñÃ×°ô,Corn Cob
161,ºìÉÕÅ£ÈâÃæ,Braised beef noodle
162,ºÓ·Û,fried rice noodles
163,³¦·Û,Steamed vermicelli roll
164,ÏÊÈâĞ¡âÆâ½,Pork wonton
165,¼å½È,Fried Dumplings
166,ÌÀÔ²,Tang-yuan
167,Ğ¡Ã×Öà,Millet congee
168,ºìÊíÖà,Sweet potato porridge
169,º£Õİ,Jellyfish
170,Æ¤µ°ÊİÈâÖà,Minced Pork Congee with Preserved Egg
171,´óÃ×Öà,Rice porridge
172,Ã×·¹,Rice
173,×Ï²Ë°ü·¹,Laver rice
174,Ê¯¹ø·¹,Stone pot of rice
175,ÎÚ¼¦ÌÀ,Black bone chicken soup
176,öêÓã¶¹¸¯ÌÀ,Crucian and Bean Curd Soup
177,¸í´ñÌÀ,Dough Drop and Assorted Vegetable Soup
178,ËáÀ±ÌÀ,Hot and Sour Soup
179,ÂÜ²·ÅÅ¹ÇÌÀ,Pork ribs soup with radish
180,Î÷ºìÊÁ¼¦µ°ÌÀ,Tomato and Egg Soup
181,Î÷ºşÅ£Èâ¸ş,West Lake beef soup
182,Á«ÅºÅÅ¹ÇÌÀ,Lotus Root and Rib soup
183,×Ï²Ëµ°»¨ÌÀ,Seaweed and Egg Soup
184,º£´ø¶¹¸¯ÌÀ,Seaweed tofu soup
185,ÓñÃ×ÅÅ¹ÇÌÀ,Corn and sparerib soup
186,²¤²ËÖí¸ÎÌÀ,Spinach and pork liver soup
187,ÂŞËÎÌÀ,Borsch
188,Òø¶úÌÀ,White fungus soup
189,¶¬¹ÏÌÀ,White gourd soup
190,½´ÌÀ,Miso soup
191,Ã«ÑªÍú,Duck Blood in Chili Sauce
192,·òÆŞ·ÎÆ¬,Pork Lungs in Chili Sauce
193,ÂéÀ±Ïã¹ø,Spicy pot
194,»Æ½ğÈçÒâÈâ¾í,Golden meat rolls
195,µ°¸â,Chiffon Cake
196,µ°Ì¢,Egg Tart
197,Ãæ°ü,Bread
198,Å£½Ç°ü,Croissant
199,ÍÂË¾,toast
200,±ı¸É,Biscuits
201,ÇúÆæ±ı¸É,cookies
202,ËÕ´ò±ı¸É,Soda biscuit
203,Ë«Æ¤ÄÌ,Double skin milk
204,±ù¼¤Áè,ice cream
205,¼¦µ°²¼¶¡,Egg pudding
206,±ùÌÇÑ©Àæ,Sweet stewed snow pear
207,Ë®¹ûÉ³À­,Fruit salad
